Fruit_name,Fruit_weight,Fruit_color
Kiwi,2644.74,Brown
Banana,1406.11,Yellow
Blueberry,108.63,Blue
Papaya,2766.43,Orange
Kiwi,1714.66,Brown
Cherry,356.51,Red
Apple,1757.4,Red
Pineapple,1160.2,Brown
Cherry,326.38,Red
Kiwi,1082.19,Brown
Papaya,572.87,Orange
Orange,455.43,Orange
Kiwi,2093.62,Brown
Watermelon,582.62,Green
Grapes,236.4,Green
Apple,698.96,Red
Watermelon,2199.52,Green
Blueberry,2220.96,Blue
Orange,1539.58,Orange
Apple,828.3,Red
Grapes,2361.78,Green
Cherry,592.83,Red
Papaya,1024.99,Orange
Strawberry,2443.66,Red
Mango,2082.27,Yellow
Orange,100.73,Orange
Grapes,259.3,Green
Blueberry,1795.52,Blue
Apple,1011.88,Red
Blueberry,1553.51,Blue
Pineapple,867.72,Brown
Strawberry,1309.04,Red
Watermelon,1003.92,Green
Apple,2813.15,Red
Orange,2182.04,Orange
Papaya,2798.66,Orange
Apple,2283.48,Red
Apple,1008.26,Red
Grapes,798.28,Green
Pineapple,892.6,Brown
Cherry,328.81,Red
Pineapple,2317.96,Brown
Strawberry,2111.68,Red
Kiwi,1846.18,Brown
Pineapple,205.34,Brown
Pineapple,952.64,Brown
Apple,1639.92,Red
Watermelon,817.73,Green
Orange,1091.75,Orange
Mango,790.49,Yellow
Apple,774.56,Red
Papaya,973.35,Orange
Strawberry,743.48,Red
Banana,2557.93,Yellow
Strawberry,1566.39,Red
Strawberry,1931.03,Red
Kiwi,2560.49,Brown
Strawberry,959.34,Red
Apple,1507.53,Red
Watermelon,2386.72,Green
Mango,2137.85,Yellow
Watermelon,2994.64,Green
Kiwi,2603.77,Brown
Orange,1630.85,Orange
Pineapple,773.0,Brown
Strawberry,1952.95,Red
Kiwi,2603.12,Brown
Kiwi,2327.21,Brown
Papaya,508.68,Orange
Grapes,2132.2,Green
Blueberry,336.14,Blue
Strawberry,868.65,Red
Blueberry,2769.86,Blue
Kiwi,2010.21,Brown
Mango,670.37,Yellow
Strawberry,519.91,Red
Cherry,1330.96,Red
Cherry,883.35,Red
Blueberry,1707.54,Blue
Mango,1144.39,Yellow
Strawberry,1118.47,Red
Mango,2326.1,Yellow
Banana,2677.96,Yellow
Blueberry,1018.52,Blue
Cherry,1845.5,Red
Banana,310.05,Yellow
Mango,659.85,Yellow
Pineapple,1354.67,Brown
Papaya,386.41,Orange
Kiwi,514.39,Brown
Apple,571.42,Red
Grapes,1725.52,Green
Grapes,2670.48,Green
Strawberry,183.3,Red
Blueberry,1242.1,Blue
Blueberry,2718.33,Blue
Mango,2362.4,Yellow
Banana,505.43,Yellow
Mango,563.78,Yellow
Papaya,1874.62,Orange
Mango,1791.35,Yellow
Orange,2788.9,Orange
Cherry,852.53,Red
Pineapple,1123.81,Brown
Watermelon,2540.94,Green
Mango,2698.08,Yellow
Pineapple,2480.81,Brown
Apple,409.81,Red
Apple,1846.34,Red
Strawberry,1752.39,Red
Cherry,2135.19,Red
Pineapple,2321.37,Brown
Pineapple,2175.03,Brown
Watermelon,2791.17,Green
Apple,494.41,Red
Apple,368.85,Red
Pineapple,1068.04,Brown
Grapes,1496.62,Green
Strawberry,958.65,Red
Blueberry,1616.95,Blue
Watermelon,2650.94,Green
Mango,2530.38,Yellow
Apple,850.79,Red
Mango,1576.56,Yellow
Orange,1823.72,Orange
Grapes,2597.46,Green
Cherry,977.53,Red
Grapes,1459.43,Green
Watermelon,2174.51,Green
Blueberry,2566.44,Blue
Orange,1217.14,Orange
Blueberry,1206.48,Blue
Blueberry,1166.12,Blue
Cherry,813.45,Red
Strawberry,1286.98,Red
Cherry,449.11,Red
Blueberry,266.01,Blue
Pineapple,1439.91,Brown
Watermelon,356.18,Green
Grapes,280.14,Green
Mango,2968.28,Yellow
Banana,1725.62,Yellow
Kiwi,2661.5,Brown
Strawberry,1626.01,Red
Pineapple,2093.05,Brown
Mango,2773.16,Yellow
Kiwi,2275.44,Brown
Strawberry,1168.68,Red
Mango,2747.53,Yellow
Mango,106.18,Yellow
Apple,1994.56,Red
Strawberry,2844.61,Red
Mango,2512.49,Yellow
Cherry,2958.26,Red
Grapes,2251.79,Green
Cherry,2692.61,Red
Grapes,2745.22,Green
Watermelon,1666.96,Green
Apple,2005.06,Red
Banana,1442.66,Yellow
Banana,1973.97,Yellow
Strawberry,875.83,Red
Cherry,1493.81,Red
Blueberry,1768.34,Blue
Kiwi,429.31,Brown
Grapes,2455.41,Green
Mango,2379.75,Yellow
Orange,2416.98,Orange
Kiwi,2412.37,Brown
Banana,793.82,Yellow
Papaya,59.04,Orange
Papaya,1460.49,Orange
Papaya,345.68,Orange
Apple,1163.19,Red
Mango,2429.64,Yellow
Banana,835.71,Yellow
Watermelon,1610.24,Green
Banana,2667.84,Yellow
Strawberry,1237.86,Red
Grapes,2565.37,Green
Watermelon,1307.99,Green
Kiwi,2056.0,Brown
Kiwi,987.58,Brown
Watermelon,2368.79,Green
Strawberry,367.31,Red
Grapes,1276.04,Green
Apple,505.13,Red
Cherry,1608.22,Red
Blueberry,777.18,Blue
Grapes,1565.07,Green
Papaya,2406.92,Orange
Apple,184.64,Red
Apple,2126.62,Red
Banana,1291.21,Yellow
Pineapple,1173.6,Brown
Banana,1609.69,Yellow
Grapes,2263.1,Green
Pineapple,2527.36,Brown
Mango,746.13,Yellow
Papaya,1512.9,Orange
Apple,2132.34,Red
Grapes,2818.46,Green
Mango,1612.67,Yellow
Pineapple,1896.44,Brown
Mango,1665.84,Yellow
Grapes,2276.95,Green
Apple,149.62,Red
Cherry,2412.9,Red
Blueberry,711.88,Blue
Apple,1363.8,Red
Grapes,363.29,Green
Blueberry,640.88,Blue
Kiwi,529.12,Brown
Watermelon,748.7,Green
Papaya,831.57,Orange
Papaya,681.61,Orange
Strawberry,97.4,Red
Strawberry,2071.33,Red
Watermelon,1316.32,Green
Watermelon,2499.22,Green
Blueberry,1906.76,Blue
Watermelon,1602.43,Green
Mango,1170.26,Yellow
Cherry,1054.42,Red
Watermelon,2364.12,Green
Watermelon,1282.31,Green
Banana,1852.45,Yellow
Cherry,661.28,Red
Cherry,2708.07,Red
Mango,2922.07,Yellow
Grapes,1138.58,Green
Mango,1943.14,Yellow
Strawberry,1757.72,Red
Orange,2377.93,Orange
Apple,2653.06,Red
Papaya,1488.0,Orange
Mango,331.49,Yellow
Cherry,1329.18,Red
Watermelon,1147.4,Green
Banana,2196.48,Yellow
Mango,2489.52,Yellow
Watermelon,1693.05,Green
Papaya,408.7,Orange
Apple,1254.47,Red
Papaya,186.99,Orange
Cherry,1612.49,Red
Orange,1516.33,Orange
Grapes,2305.13,Green
Banana,2457.76,Yellow
Cherry,1325.61,Red
Banana,1130.18,Yellow
Kiwi,129.84,Brown
Cherry,502.64,Red
Grapes,1992.67,Green
Pineapple,2458.22,Brown
Watermelon,1526.28,Green
Mango,2664.18,Yellow
Orange,2531.1,Orange
Orange,693.98,Orange
Pineapple,1202.63,Brown
Apple,2941.41,Red
Watermelon,1415.7,Green
Watermelon,801.57,Green
Cherry,1270.81,Red
Grapes,2944.85,Green
Mango,1156.29,Yellow
Apple,1172.63,Red
Strawberry,1411.2,Red
Watermelon,500.82,Green
Watermelon,737.4,Green
Orange,2909.29,Orange
Watermelon,1497.47,Green
Banana,1463.82,Yellow
Grapes,1952.92,Green
Pineapple,2259.77,Brown
Pineapple,1136.32,Brown
Watermelon,2754.52,Green
Blueberry,2806.46,Blue
Blueberry,2558.45,Blue
Strawberry,254.16,Red
Blueberry,2976.41,Blue
Orange,2970.25,Orange
Papaya,2617.3,Orange
Papaya,1703.8,Orange
Blueberry,783.94,Blue
Kiwi,474.15,Brown
Watermelon,537.62,Green
Pineapple,1709.49,Brown
Cherry,1718.02,Red
Papaya,1645.01,Orange
Blueberry,1367.63,Blue
Cherry,302.07,Red
Papaya,1549.48,Orange
Strawberry,1778.5,Red
Mango,1030.92,Yellow
Apple,1635.52,Red
Mango,2455.68,Yellow
Watermelon,682.85,Green
Kiwi,1050.17,Brown
Cherry,2717.84,Red
Banana,1498.78,Yellow
Cherry,771.92,Red
Mango,2211.04,Yellow
Watermelon,1182.75,Green
Banana,2906.59,Yellow
Blueberry,581.27,Blue
Watermelon,400.86,Green
Cherry,2663.75,Red
Orange,964.12,Orange
Watermelon,2560.23,Green
Apple,1166.76,Red
Cherry,279.52,Red
Orange,717.43,Orange
Watermelon,756.11,Green
Apple,2857.17,Red
Papaya,1930.97,Orange
Papaya,1859.16,Orange
Mango,1690.04,Yellow
Strawberry,2236.15,Red
Apple,63.86,Red
Strawberry,1600.98,Red
Strawberry,1808.12,Red
Pineapple,884.09,Brown
Watermelon,425.49,Green
Kiwi,1750.12,Brown
Apple,2458.81,Red
Grapes,210.21,Green
Kiwi,2797.51,Brown
Kiwi,1460.84,Brown
Strawberry,1760.55,Red
Watermelon,1933.68,Green
Strawberry,1658.78,Red
Apple,2730.94,Red
Pineapple,814.82,Brown
Orange,2931.47,Orange
Mango,791.56,Yellow
Orange,2662.13,Orange
Watermelon,719.26,Green
Cherry,325.5,Red
Cherry,1378.27,Red
Banana,1801.46,Yellow
Papaya,1937.57,Orange
Papaya,2503.17,Orange
Orange,1729.21,Orange
Mango,374.74,Yellow
Orange,763.42,Orange
Grapes,2183.97,Green
Banana,965.28,Yellow
Cherry,1197.43,Red
Pineapple,950.24,Brown
Mango,2090.8,Yellow
Apple,2579.27,Red
Kiwi,2317.09,Brown
Banana,2874.66,Yellow
Pineapple,2894.66,Brown
Pineapple,1479.16,Brown
Apple,1458.14,Red
Grapes,2612.56,Green
Kiwi,1183.38,Brown
Orange,1531.5,Orange
Blueberry,1975.48,Blue
Watermelon,2763.24,Green
Blueberry,1584.69,Blue
Papaya,673.66,Orange
Blueberry,695.46,Blue
Pineapple,1520.78,Brown
Blueberry,1278.35,Blue
Cherry,1607.82,Red
Orange,1794.43,Orange
Watermelon,1169.98,Green
Blueberry,2150.27,Blue
Cherry,119.06,Red
Mango,633.15,Yellow
Papaya,1611.95,Orange
Blueberry,437.06,Blue
Mango,1377.85,Yellow
Strawberry,2726.04,Red
Cherry,2642.49,Red
Watermelon,341.82,Green
Strawberry,1180.57,Red
Watermelon,2573.23,Green
Papaya,2779.09,Orange
Strawberry,641.37,Red
Banana,1502.03,Yellow
Cherry,293.19,Red
Papaya,2482.93,Orange
Strawberry,1962.92,Red
Orange,1363.47,Orange
Cherry,347.87,Red
Apple,1528.59,Red
Apple,1797.97,Red
Blueberry,1680.63,Blue
Pineapple,2191.81,Brown
Grapes,933.6,Green
Pineapple,394.54,Brown
Watermelon,248.51,Green
Apple,1296.87,Red
Grapes,806.28,Green
Cherry,2001.66,Red
Watermelon,183.38,Green
Pineapple,1286.35,Brown
Cherry,961.48,Red
Orange,1701.56,Orange
Grapes,1418.82,Green
Apple,2838.27,Red
Watermelon,127.99,Green
Strawberry,434.83,Red
Apple,1813.14,Red
Kiwi,262.82,Brown
Apple,954.7,Red
Apple,58.07,Red
Grapes,1234.78,Green
Strawberry,378.95,Red
Watermelon,449.99,Green
Cherry,2421.77,Red
Pineapple,2907.2,Brown
Watermelon,1261.5,Green
Mango,1447.72,Yellow
Apple,1202.95,Red
Strawberry,102.49,Red
Blueberry,2655.04,Blue
Orange,406.22,Orange
Grapes,2198.27,Green
Papaya,2354.2,Orange
Banana,929.28,Yellow
Papaya,2742.57,Orange
Strawberry,1830.1,Red
Watermelon,1061.45,Green
Kiwi,2636.89,Brown
Orange,538.08,Orange
Grapes,1283.58,Green
Cherry,1969.37,Red
Pineapple,1966.86,Brown
Apple,112.28,Red
Apple,313.53,Red
Papaya,326.04,Orange
Watermelon,2604.66,Green
Blueberry,1462.52,Blue
Pineapple,452.44,Brown
Banana,1907.61,Yellow
Orange,2537.36,Orange
Papaya,901.88,Orange
Kiwi,1037.55,Brown
Mango,2241.93,Yellow
Watermelon,2594.19,Green
Apple,1233.9,Red
Pineapple,2329.09,Brown
Cherry,2424.1,Red
Kiwi,2740.53,Brown
Banana,2304.73,Yellow
Grapes,219.34,Green
Watermelon,1622.5,Green
Mango,503.14,Yellow
Pineapple,118.45,Brown
Banana,675.64,Yellow
Orange,1483.56,Orange
Cherry,2402.44,Red
Pineapple,340.04,Brown
Strawberry,2303.84,Red
Grapes,2743.25,Green
Grapes,383.7,Green
Papaya,1275.64,Orange
Kiwi,494.19,Brown
Pineapple,387.86,Brown
Grapes,255.46,Green
Banana,2659.21,Yellow
Grapes,1921.13,Green
Grapes,1521.27,Green
Blueberry,775.36,Blue
Kiwi,2656.44,Brown
Blueberry,1333.5,Blue
Orange,1881.98,Orange
Strawberry,681.65,Red
Mango,696.35,Yellow
Pineapple,2388.15,Brown
Mango,903.7,Yellow
Strawberry,1198.55,Red
Cherry,1882.38,Red
Pineapple,1387.88,Brown
Cherry,2140.05,Red
Banana,100.15,Yellow
Grapes,2661.21,Green
Orange,1927.75,Orange
Grapes,2514.14,Green
Strawberry,2188.21,Red
Pineapple,2510.29,Brown
Mango,719.58,Yellow
Cherry,179.74,Red
Papaya,2334.59,Orange
Strawberry,833.37,Red
Papaya,119.15,Orange
Papaya,2102.12,Orange
Banana,2990.69,Yellow
Strawberry,2602.02,Red
Papaya,1186.89,Orange
Blueberry,1574.63,Blue
Kiwi,807.14,Brown
Kiwi,183.4,Brown
Cherry,2846.77,Red
Kiwi,1897.91,Brown
Banana,1488.07,Yellow
Papaya,2245.85,Orange
Apple,1938.37,Red
Watermelon,107.16,Green
Apple,2486.99,Red
Apple,256.67,Red
Orange,1015.79,Orange
Mango,1355.26,Yellow
Strawberry,791.25,Red
Watermelon,1569.92,Green
Orange,1819.49,Orange
Mango,1225.32,Yellow
Pineapple,1096.27,Brown
Banana,585.72,Yellow
Banana,2857.68,Yellow
Watermelon,1987.69,Green
Cherry,1422.57,Red
Orange,290.51,Orange
Mango,2144.54,Yellow
Orange,555.54,Orange
Kiwi,1012.71,Brown
Strawberry,1878.79,Red
Blueberry,1334.9,Blue
Pineapple,2483.55,Brown
Papaya,431.57,Orange
Grapes,1806.08,Green
Papaya,1150.95,Orange
Kiwi,1086.79,Brown
Apple,642.68,Red
Banana,1835.88,Yellow
Strawberry,1954.14,Red
Grapes,351.93,Green
Mango,2857.99,Yellow
Papaya,2750.04,Orange
Strawberry,2993.65,Red
Banana,2315.79,Yellow
Banana,2323.54,Yellow
Orange,694.11,Orange
Blueberry,886.92,Blue
Kiwi,400.64,Brown
Apple,1475.57,Red
Blueberry,502.0,Blue
Orange,836.05,Orange
Kiwi,837.87,Brown
Kiwi,2581.14,Brown
Banana,2852.99,Yellow
Strawberry,1140.34,Red
Grapes,528.37,Green
Blueberry,764.1,Blue
Kiwi,2201.15,Brown
Mango,1661.69,Yellow
Blueberry,585.93,Blue
Strawberry,849.63,Red
Watermelon,2219.6,Green
Apple,2724.84,Red
Cherry,861.87,Red
Pineapple,2084.18,Brown
Strawberry,2498.31,Red
Grapes,2925.63,Green
Orange,2359.38,Orange
Banana,2297.44,Yellow
Pineapple,1340.08,Brown
Watermelon,2327.42,Green
Blueberry,405.16,Blue
Blueberry,1943.25,Blue
Orange,673.0,Orange
Grapes,1947.14,Green
Watermelon,1990.09,Green
Papaya,1739.85,Orange
Apple,827.35,Red
Papaya,1423.06,Orange
Watermelon,2738.42,Green
Papaya,2051.97,Orange
Grapes,1231.69,Green
Kiwi,1649.65,Brown
Mango,1342.56,Yellow
Banana,1152.87,Yellow
Mango,1795.67,Yellow
Blueberry,2879.84,Blue
Strawberry,2853.74,Red
Strawberry,1791.2,Red
Cherry,1384.75,Red
Strawberry,1351.64,Red
Blueberry,1660.37,Blue
Banana,378.64,Yellow
Papaya,891.8,Orange
Grapes,1531.93,Green
Pineapple,180.19,Brown
Mango,425.62,Yellow
Apple,2188.95,Red
Grapes,1569.93,Green
Blueberry,2973.71,Blue
Papaya,1219.17,Orange
Grapes,2525.98,Green
Orange,1283.9,Orange
Pineapple,1462.26,Brown
Blueberry,2324.12,Blue
Cherry,1840.73,Red
Kiwi,2113.55,Brown
Kiwi,2306.46,Brown
Papaya,155.43,Orange
Cherry,378.62,Red
Kiwi,1545.83,Brown
Papaya,615.95,Orange
Blueberry,2185.82,Blue
Pineapple,1961.06,Brown
Kiwi,2292.16,Brown
Cherry,165.93,Red
Kiwi,2145.89,Brown
Orange,1584.35,Orange
Grapes,807.64,Green
Banana,2386.97,Yellow
Cherry,87.07,Red
Blueberry,2971.7,Blue
Grapes,1475.3,Green
Strawberry,1120.39,Red
Banana,2803.19,Yellow
Blueberry,988.09,Blue
Kiwi,470.04,Brown
Grapes,1095.34,Green
Papaya,973.96,Orange
Banana,849.1,Yellow
Cherry,1655.83,Red
Watermelon,2570.68,Green
Orange,2082.93,Orange
Banana,1621.98,Yellow
Kiwi,1398.64,Brown
Mango,1268.24,Yellow
Apple,678.57,Red
Orange,1552.44,Orange
Apple,2927.01,Red
Blueberry,2144.95,Blue
Mango,2013.11,Yellow
Strawberry,1500.69,Red
Banana,2933.17,Yellow
Apple,59.03,Red
Banana,2278.83,Yellow
Papaya,1309.78,Orange
Watermelon,687.2,Green
Apple,1623.43,Red
Cherry,576.71,Red
Kiwi,1480.95,Brown
Orange,2824.34,Orange
Apple,1346.95,Red
Papaya,1934.66,Orange
Watermelon,932.14,Green
Papaya,1704.2,Orange
Strawberry,2720.23,Red
Blueberry,1015.15,Blue
Blueberry,60.22,Blue
Apple,2853.62,Red
Orange,82.95,Orange
Orange,2229.48,Orange
Orange,2890.32,Orange
Kiwi,2634.04,Brown
Strawberry,1162.53,Red
Mango,2113.02,Yellow
Orange,110.71,Orange
Apple,631.79,Red
Kiwi,2105.08,Brown
Blueberry,252.22,Blue
Pineapple,2527.19,Brown
Blueberry,2294.44,Blue
Banana,2074.09,Yellow
Pineapple,727.45,Brown
Orange,1733.92,Orange
Orange,548.46,Orange
Mango,2443.95,Yellow
Papaya,2223.98,Orange
Mango,2589.81,Yellow
Papaya,328.4,Orange
Banana,2293.42,Yellow
Apple,2505.41,Red
Mango,1549.43,Yellow
Cherry,664.0,Red
Apple,2868.99,Red
Blueberry,748.12,Blue
Orange,997.03,Orange
Mango,98.52,Yellow
Watermelon,708.14,Green
Pineapple,1830.99,Brown
Watermelon,2351.65,Green
Grapes,82.29,Green
Banana,2518.22,Yellow
Strawberry,2312.7,Red
Blueberry,829.85,Blue
Cherry,2962.46,Red
Apple,2303.98,Red
Pineapple,1036.29,Brown
Watermelon,689.44,Green
Pineapple,860.26,Brown
Orange,359.1,Orange
Apple,694.08,Red
Papaya,2580.49,Orange
Pineapple,1312.33,Brown
Grapes,2063.25,Green
Watermelon,1639.69,Green
Strawberry,499.59,Red
Watermelon,772.03,Green
Strawberry,1326.19,Red
Pineapple,2560.64,Brown
Pineapple,1235.98,Brown
Kiwi,2597.67,Brown
Watermelon,1229.62,Green
Cherry,520.18,Red
Grapes,2108.45,Green
Blueberry,2382.0,Blue
Orange,844.66,Orange
Strawberry,1018.5,Red
Kiwi,1123.08,Brown
Cherry,96.77,Red
Blueberry,2121.77,Blue
Strawberry,2853.66,Red
Blueberry,1588.51,Blue
Strawberry,317.87,Red
Kiwi,664.87,Brown
Kiwi,2123.53,Brown
Pineapple,951.26,Brown
Banana,918.2,Yellow
Cherry,2138.25,Red
Apple,2169.74,Red
Banana,559.3,Yellow
Kiwi,2936.32,Brown
Banana,882.12,Yellow
Strawberry,382.99,Red
Banana,2802.86,Yellow
Strawberry,2316.74,Red
Pineapple,2165.16,Brown
Blueberry,578.87,Blue
Papaya,878.1,Orange
Kiwi,2775.42,Brown
Papaya,1760.51,Orange
Grapes,2169.59,Green
Banana,2995.5,Yellow
Apple,1210.62,Red
Mango,1887.98,Yellow
Watermelon,1926.31,Green
Watermelon,1885.69,Green
Mango,288.83,Yellow
Watermelon,826.08,Green
Apple,169.36,Red
Orange,795.61,Orange
Cherry,2320.71,Red
Grapes,122.11,Green
Blueberry,391.68,Blue
Kiwi,2199.85,Brown
Pineapple,2500.04,Brown
Strawberry,967.29,Red
Apple,1436.38,Red
Mango,978.45,Yellow
Grapes,2822.27,Green
Pineapple,642.61,Brown
Apple,1099.8,Red
Apple,564.24,Red
Mango,837.39,Yellow
Cherry,922.2,Red
Grapes,587.04,Green
Papaya,2180.94,Orange
Banana,351.74,Yellow
Mango,1638.36,Yellow
Banana,739.82,Yellow
Cherry,2677.34,Red
Grapes,2241.31,Green
Grapes,322.39,Green
Papaya,853.19,Orange
Orange,1033.48,Orange
Mango,1971.0,Yellow
Orange,2508.22,Orange
Blueberry,2532.77,Blue
Cherry,376.76,Red
Orange,2258.65,Orange
Cherry,1598.16,Red
Papaya,2214.44,Orange
Apple,2972.9,Red
Papaya,2860.69,Orange
Kiwi,401.12,Brown
Papaya,1489.54,Orange
Pineapple,1535.91,Brown
Orange,337.31,Orange
Cherry,609.43,Red
Blueberry,2041.92,Blue
Mango,1261.06,Yellow
Strawberry,1899.5,Red
Cherry,2190.17,Red
Apple,471.14,Red
Pineapple,2077.43,Brown
Cherry,2041.2,Red
Strawberry,2377.55,Red
Cherry,2976.79,Red
Apple,1089.09,Red
Grapes,2670.36,Green
Grapes,2867.57,Green
Pineapple,2479.6,Brown
Cherry,715.47,Red
Orange,1167.45,Orange
Banana,1178.53,Yellow
Mango,1654.02,Yellow
Papaya,424.62,Orange
Banana,2355.59,Yellow
Watermelon,1195.58,Green
Watermelon,1470.63,Green
Kiwi,1859.87,Brown
Blueberry,2745.48,Blue
Orange,1702.81,Orange
Banana,606.5,Yellow
Watermelon,847.58,Green
Watermelon,688.5,Green
Grapes,2912.29,Green
Pineapple,1803.22,Brown
Banana,2029.31,Yellow
Orange,1214.26,Orange
Kiwi,2043.99,Brown
Strawberry,1618.48,Red
Watermelon,160.15,Green
Cherry,1762.12,Red
Blueberry,2618.85,Blue
Papaya,1500.41,Orange
Banana,2218.11,Yellow
Cherry,1739.93,Red
Apple,1561.2,Red
Mango,2406.89,Yellow
Kiwi,1031.11,Brown
Apple,1961.13,Red
Kiwi,78.31,Brown
Mango,1497.22,Yellow
Strawberry,1597.87,Red
Orange,1859.4,Orange
Papaya,2988.0,Orange
Strawberry,1903.82,Red
Orange,2536.39,Orange
Grapes,2557.02,Green
Watermelon,1601.57,Green
Apple,1072.52,Red
Kiwi,1897.18,Brown
Kiwi,1408.01,Brown
Orange,457.98,Orange
Kiwi,2984.58,Brown
Strawberry,187.75,Red
Strawberry,571.19,Red
Watermelon,749.84,Green
Orange,2054.03,Orange
Blueberry,805.67,Blue
Blueberry,1865.53,Blue
Orange,840.06,Orange
Apple,1581.58,Red
Grapes,828.51,Green
Blueberry,1469.11,Blue
Mango,2054.8,Yellow
Mango,2493.89,Yellow
Watermelon,750.41,Green
Grapes,2109.63,Green
Blueberry,1537.53,Blue
Mango,2918.57,Yellow
Apple,523.92,Red
Banana,1379.25,Yellow
Papaya,2373.32,Orange
Kiwi,2819.78,Brown
Mango,2634.98,Yellow
Apple,980.31,Red
Strawberry,725.12,Red
Grapes,1952.04,Green
Blueberry,2080.65,Blue
Mango,410.87,Yellow
Strawberry,2844.05,Red
Watermelon,570.92,Green
Kiwi,173.45,Brown
Mango,434.77,Yellow
Grapes,1272.64,Green
Papaya,1973.47,Orange
Kiwi,1053.25,Brown
Banana,818.63,Yellow
Kiwi,2444.43,Brown
Blueberry,753.62,Blue
Grapes,146.71,Green
Banana,1095.83,Yellow
Kiwi,2490.27,Brown
Mango,818.36,Yellow
Mango,430.73,Yellow
Grapes,2889.78,Green
Strawberry,1578.6,Red
Banana,2608.03,Yellow
Grapes,2180.07,Green
Pineapple,234.72,Brown
